,f2,f3,f4,f5,f6,f7,f8
0,0.08694724824307798,5.060667565826618,-0.49338747321458576,0.013888888888888888,0.566799241670523,0.0,0.00669975457757532
1,0.08824891574100135,5.059135221264036,-0.4956622823359702,0.013888888888888888,0.566799241670523,0.0,0.006699754577575319
2,-1.2753631215814787,3.4731373065241695,-5.209022091179688,0.013888888888888888,0.566799241670523,3.009265538105056e-36,0.006699754577575319
3,-0.16123045465750163,4.880217297441565,-0.6664524923161297,0.013888888888888888,0.566799241670523,0.0,0.006699754577575319
4,-0.1419309764987764,3.077762462372991,-1.3657164931624657,0.013888888888888888,0.566799241670523,3.009265538105056e-36,0.006699754577575319
5,-0.1398616280575995,3.0777795682537734,-1.3653856154788815,0.013888888888888888,0.566799241670523,0.0,0.00669975457757532
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,-1.352345170739211,1.2472056021074622,-1.6342284867393873,0.013888888888888888,0.566799241670523,3.009265538105056e-36,0.0066997545775753205
13,0.12355409888327795,1.6410653921275105,-1.0318051701407291,0.013888888888888888,0.566799241670523,0.0,0.006699754577575319
14,-0.11327617914600108,4.722353219680407,-2.0412654613085066,0.013888888888888888,0.566799241670523,0.0,0.00669975457757532
15,0.042695555769777904,5.067296715347306,-0.43928595487441996,0.013888888888888888,0.566799241670523,3.009265538105056e-36,0.006699754577575319
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
