,f2,f3,f4,f5,f6,f7,f8
0,-1.904732697861924,2.805006305187569,-3.4435220433173503,0.013888888888888888,0.16133522619113438,0.0,0.015072286459045615
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,-4.04328713491262,0.8823939417437902,-1.881313356842697,0.013888888888888888,0.16133522619113438,0.0,0.015072286459045615
3,-4.124227172801387,0.8636669875962579,-1.8238736410888057,0.013888888888888888,0.16133522619113438,3.009265538105056e-36,0.015072286459045613
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
