,f2,f3,f4,f5,f6,f7,f8
0,-1.5228039887936955,2.2948862170637776,-3.660439231921824,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703373
1,0.09125499381306401,3.4167878901929365,-1.7346513418057503,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703377
2,-1.51370922086842,2.3131440375282915,-3.658275235005006,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703377
3,0.06413063504081862,3.37588227862256,-1.7043719735604235,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703377
4,-1.5464480924897703,2.2842243402526337,-3.638525376907939,0.027777777777777776,0.6424518549496843,3.616898148148147e-05,0.016549202540703377
5,0.0655780220674762,3.3649310021196275,-1.720627364778179,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703373
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,-0.07931954333798963,3.494589537146849,-2.4494025961353962,0.027777777777777776,0.6424518549496843,3.6168981481481486e-05,0.016549202540703373
15,0.04169505793788275,3.67181910811699,-1.8734781902721143,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703377
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,-1.5427586867040448,2.2782363660863294,-3.654689231768307,0.027777777777777776,0.6424518549496843,3.6168981481481486e-05,0.016549202540703373
19,0.10570366371318407,3.4223740576204484,-1.7578670688317954,0.027777777777777776,0.6424518549496843,3.616898148148148e-05,0.016549202540703373
