,f2,f3,f4,f5,f6,f7,f8
0,-0.178679604,4.009968031,-2.60648346,0.25,0.212444895,0.0,0.019001624
1,0.069613786,4.443173414,-1.179504451,0.25,0.212444895,0.0,0.019001624
2,-0.179715978,4.01124299,-2.61148436,0.25,0.212444895,0.0,0.019001624
3,0.068882415,4.44515457,-1.177623963,0.25,0.212444895,0.0,0.019001624
4,-0.175589603,4.014109991,-2.598912822,0.25,0.212444895,0.0,0.019001624
5,0.068972143,4.442487243,-1.184583746,0.25,0.212444895,0.0,0.019001624
6,-0.175785577,4.015996906,-2.598157916,0.25,0.212444895,0.0,0.019001624
7,0.068565661,4.444968137,-1.179451089,0.25,0.212444895,0.0,0.019001624
8,-0.177982056,4.010905982,-2.607326727,0.25,0.212444895,0.0,0.019001624
9,0.069556089,4.444021959,-1.181458126,0.25,0.212444895,0.0,0.019001624
10,-0.176109469,4.014184987,-2.600179397,0.25,0.212444895,0.0,0.019001624
11,0.069134707,4.442967612,-1.183983878,0.25,0.212444895,0.0,0.019001624
12,-0.187641901,4.016129188,-2.61300263,0.25,0.212444895,0.0,0.019001624
13,0.067032982,4.446914648,-1.174236619,0.25,0.212444895,0.0,0.019001624
14,,,,,,,
15,,,,,,,
16,-0.2061801042414819,3.986159665213205,-2.6964247895361013,0.25,0.2128912524930689,0.0,0.0184483704489735
17,0.0711988209930476,4.452523898774252,-1.1639797414581528,0.25,0.2128912524930689,0.0,0.0184483704489735
18,-0.1957791855010349,3.9980741539300175,-2.664473764924737,0.25,0.2128912524930689,0.0,0.0184483704489735
19,0.0697532602917814,4.449668993286133,-1.1750082766275654,0.25,0.2128912524930689,0.0,0.0184483704489735
