,f2,f3,f4,f5,f6,f7,f8
0,0.044889264,3.1683509,-1.866349874,0.25,0.417254985,0.0,0.074984652
1,0.074534121,3.290323504,-1.64949106,0.25,0.417254985,0.0,0.074984652
2,0.055044923,3.182906344,-1.78574476,0.25,0.417254985,0.0,0.074984652
3,0.054585104,3.265890163,-1.650872529,0.25,0.417254985,0.0,0.074984652
4,0.04102214,3.170838956,-1.801603767,0.25,0.417254985,0.0,0.074984652
5,0.046967894,3.257765995,-1.654842974,0.25,0.417254985,0.0,0.074984652
6,0.057336737,3.178691081,-1.811651881,0.25,0.417254985,0.0,0.074984652
7,0.065384061,3.276292651,-1.650338086,0.25,0.417254985,0.0,0.074984652
8,0.06421604,3.194466951,-1.771440962,0.25,0.417254985,0.0,0.074984652
9,0.063334055,3.272282813,-1.650567765,0.25,0.417254985,0.0,0.074984652
10,0.047762257,3.176634267,-1.79615091,0.25,0.417254985,0.0,0.074984652
11,0.054466672,3.264556024,-1.650147944,0.25,0.417254985,0.0,0.074984652
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,0.0081005699268574,3.1533950923255483,-1.886337016067534,0.25,0.4222097428883975,0.0,0.0732742832179498
17,0.0467740151185704,3.272272469260299,-1.6539719067587224,0.25,0.4222097428883975,0.0,0.0732742832179498
18,0.0318219217474604,3.159718623393458,-1.821932365339373,0.25,0.4222097428883975,0.0,0.0732742832179498
19,0.0449656736309389,3.254994827308902,-1.655625280196732,0.25,0.4222097428883975,0.0,0.0732742832179498
